Account,Date,daily_pnl,total_trades,closed_trades,wins,avg_trade_size_usd,win_rate,Broad_Sentiment,size_segment
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,4,4,2398.331666666667,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,0,0,1519.465681818182,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,56,56,1317.0667857142857,1.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,0,0,1602.9452173913044,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,55,55,1474.6896363636365,1.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,25,25,2094.719358974359,1.0,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,246,233,2792.42166344294,0.9471544715447154,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,124,0,612.1092741935485,0.0,Neutral,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,127,127,2687.4032704402516,1.0,Neutral,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,52,52,1641.2224999999999,1.0,Neutral,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,1,0,82910.81,0.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,0,0,1462.824423076923,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,50,50,1999.099181818182,1.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,10,0,1756.5103076923076,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,0,0,1499.4978378378378,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,47,47,1225.1170212765958,1.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,57,57,2676.518153846154,1.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,52,51,3326.2756603773582,0.9807692307692307,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,52,52,2184.328113207547,1.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,10,0,4259.311481481482,0.0,Neutral,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,0,0,1460.115,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,97,0,580.479381443299,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,83,83,730.8744516129032,1.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,0,0,54768.6,0.0,Fear,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,0,0,16.37,0.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,88,1,780.4484090909092,0.011363636363636364,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,67,20,730.92608,0.29850746268656714,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,301,301,766.7829027576198,1.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,297,297,552.0850851581508,1.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,335,249,963.6022222222223,0.7432835820895523,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,97,97,887.6931958762888,1.0,Fear,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,568,340,336,2593.2515492957746,0.9882352941176471,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,680,401,333,1679.7829852941175,0.830423940149626,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,330,97,40,3782.839757575757,0.41237113402061853,Greed,High Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,338,338,0,284.5678402366864,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,67,0,0,1435.3307462686569,0.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,83,83,83,1221.0467469879518,1.0,Greed,Low Size
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,250,81,81,815.50576,1.0,Neutral,Low Size
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,5,2,0,6070.2,0.0,Neutral,High Size
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1,1,1,1584.35,1.0,Greed,Low Size
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,4,3,3,39530.9875,1.0,Greed,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,797,306,300,6131.710464240904,0.9803921568627451,Fear,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,339,231,189,21898.95651917404,0.8181818181818182,Fear,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,313,40,40,8678.024504792333,1.0,Fear,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,863,424,424,3079.8473348783314,1.0,Fear,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,353,61,61,1965.9329745042492,1.0,Fear,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,594,233,0,8110.89095959596,0.0,Neutral,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,469,236,66,20030.785479744136,0.2796610169491525,Greed,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,70,70,66,15603.565285714287,0.9428571428571428,Greed,High Size
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,1,0,0,0.17,0.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,93,26,16,373.7049462365591,0.6153846153846154,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,95,44,34,353.5228421052631,0.7727272727272727,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,162,93,67,666.941975308642,0.7204301075268817,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,213,119,104,895.9638028169014,0.8739495798319328,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,407,218,141,2149.553218673219,0.6467889908256881,Greed,High Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,446,235,156,729.007130044843,0.6638297872340425,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,433,229,135,422.0099076212471,0.5895196506550219,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,156,77,63,333.45923076923077,0.8181818181818182,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,69,35,29,200.7391304347826,0.8285714285714286,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,225,139,95,324.3673333333333,0.6834532374100719,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,217,116,76,1012.5778341013826,0.6551724137931034,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,169,93,74,1110.83224852071,0.7956989247311828,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,207,115,78,946.0768115942029,0.6782608695652174,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,206,108,92,388.948786407767,0.8518518518518519,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,154,87,71,315.52253246753247,0.8160919540229885,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,193,108,97,247.12725388601035,0.8981481481481481,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,140,75,73,140.36935714285713,0.9733333333333334,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,78,37,37,92.37217948717948,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,112,61,60,165.78285714285715,0.9836065573770492,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,98,48,48,259.2459183673469,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,69,16,16,129.80536231884057,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,86,36,36,159.67825581395348,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,102,43,43,77.67176470588235,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,213,129,126,88.1318309859155,0.9767441860465116,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,157,110,106,119.62222929936306,0.9636363636363636,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,93,40,32,124.41204301075268,0.8,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147,87,82,150.14530612244897,0.9425287356321839,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,155,82,71,88.59193548387097,0.8658536585365854,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,154,122,119,187.5361038961039,0.9754098360655737,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,137,71,68,125.00722627737227,0.9577464788732394,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,230,156,154,131.2383043478261,0.9871794871794872,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,181,79,78,112.67668508287292,0.9873417721518988,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,191,85,80,124.92068062827224,0.9411764705882353,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,204,94,80,197.00485294117647,0.851063829787234,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,194,121,111,289.6046907216495,0.9173553719008265,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,107,55,54,215.33785046728974,0.9818181818181818,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,79,42,41,174.83481012658228,0.9761904761904762,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,95,30,29,212.30473684210526,0.9666666666666667,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,48,16,15,282.42354166666667,0.9375,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,66,36,30,284.1157575757576,0.8333333333333334,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,84,31,28,223.8904761904762,0.9032258064516129,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,388.366016,73,26,26,221.81794520547948,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,506.512551,63,30,23,166.3415873015873,0.7666666666666667,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,115.51218300000001,34,17,17,140.99176470588236,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,255.808312,125,43,42,455.63544,0.9767441860465116,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,496.221792,107,33,32,1121.107570093458,0.9696969696969697,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,109.82694000000001,59,21,21,263.3476271186441,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,416.546688,101,47,46,217.69336633663366,0.9787234042553191,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,250.581483,69,39,36,217.15115942028987,0.9230769230769231,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,232.66549799999999,81,48,40,156.68296296296296,0.8333333333333334,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,87.752181,82,47,44,101.1840243902439,0.9361702127659575,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,114.68421000000001,80,21,21,82.075375,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,267.846227,103,76,72,103.70087378640777,0.9473684210526315,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,651.469355,149,93,85,489.99302013422823,0.9139784946236559,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,571.688942,103,49,49,728.4078640776698,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-10,401.706348,84,40,37,522.1204761904762,0.925,Neutral,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,157.228232,37,18,16,484.2756756756757,0.8888888888888888,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,274.773033,63,40,39,446.3861904761905,0.975,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,53.846609,61,19,19,561.3780327868852,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-14,894.564828,42,35,34,995.6730952380951,0.9714285714285714,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-15,55.137803,19,8,8,240.01052631578946,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-16,238.995461,87,28,28,136.35540229885058,1.0,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-17,168.92152,70,36,35,118.53914285714285,0.9722222222222222,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-18,594.135892,259,107,105,195.20691119691122,0.9813084112149533,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-19,102.504343,184,90,79,155.71684782608696,0.8777777777777778,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-20,608.885905,169,72,69,169.7668047337278,0.9583333333333334,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-21,428.3738,94,53,46,262.3486170212766,0.8679245283018868,Greed,Low Size
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-22,589.467131,112,54,51,120.82616071428572,0.9444444444444444,Greed,Low Size
